[2025-12-17 17:48:15,797] INFO: Сервер теплицы запущен
[2025-12-17 17:48:16,090] INFO: Сервер теплицы запущен
[2025-12-17 17:48:16,132] INFO: Данные отправлены: T=22.3°C, H=55.8%
[2025-12-17 17:48:20,577] INFO: Данные отправлены: T=22.5°C, H=52.8%
[2025-12-17 17:48:20,740] INFO: Данные отправлены: T=21.9°C, H=53.1%
[2025-12-17 17:48:53,202] INFO: Данные отправлены: T=24.5°C, H=47.9%
[2025-12-17 17:48:53,354] INFO: Данные отправлены: T=23.8°C, H=49.8%
[2025-12-17 17:48:58,781] INFO: Данные отправлены: T=24.6°C, H=48.7%
[2025-12-17 17:48:58,941] INFO: Данные отправлены: T=24.2°C, H=49.2%
[2025-12-17 17:49:01,384] INFO: Данные отправлены: T=25.1°C, H=47.9%
[2025-12-17 17:49:02,720] INFO: Данные отправлены: T=25.0°C, H=46.7%
[2025-12-17 17:49:03,940] INFO: Данные отправлены: T=24.6°C, H=49.5%
[2025-12-17 17:49:08,949] INFO: Данные отправлены: T=25.5°C, H=45.3%
[2025-12-17 17:49:11,436] INFO: Данные отправлены: T=25.3°C, H=48.1%
[2025-12-17 17:49:17,603] INFO: Данные отправлены: T=25.2°C, H=46.3%
[2025-12-17 17:50:44,692] INFO: Данные отправлены: T=27.7°C, H=38.1%
[2025-12-17 17:51:43,336] INFO: Данные отправлены: T=27.1°C, H=43.3%
[2025-12-17 17:51:55,214] INFO: Данные отправлены: T=26.7°C, H=44.2%
[2025-12-17 17:52:00,221] INFO: Данные отправлены: T=26.6°C, H=42.8%
[2025-12-17 17:52:05,213] INFO: Данные отправлены: T=26.2°C, H=45.7%
[2025-12-17 17:52:10,221] INFO: Данные отправлены: T=25.6°C, H=45.0%
[2025-12-17 17:52:15,224] INFO: Данные отправлены: T=25.7°C, H=44.6%
[2025-12-17 17:52:20,231] INFO: Данные отправлены: T=25.2°C, H=45.3%
[2025-12-17 17:52:25,237] INFO: Данные отправлены: T=25.4°C, H=47.2%
[2025-12-17 17:52:30,247] INFO: Данные отправлены: T=24.3°C, H=46.7%
[2025-12-17 17:52:35,250] INFO: Данные отправлены: T=24.0°C, H=48.2%
[2025-12-17 17:52:40,261] INFO: Данные отправлены: T=24.6°C, H=47.7%
[2025-12-17 17:52:45,267] INFO: Данные отправлены: T=24.2°C, H=48.4%
[2025-12-17 17:52:50,275] INFO: Данные отправлены: T=23.8°C, H=50.1%
[2025-12-17 17:52:55,284] INFO: Данные отправлены: T=22.8°C, H=50.2%
[2025-12-17 17:53:00,291] INFO: Данные отправлены: T=22.5°C, H=51.5%
[2025-12-17 17:53:05,301] INFO: Данные отправлены: T=22.2°C, H=54.8%
[2025-12-17 17:53:10,306] INFO: Данные отправлены: T=22.0°C, H=53.4%
[2025-12-17 18:46:14,340] INFO: Сервер теплицы запущен
[2025-12-17 18:46:14,656] INFO: Сервер теплицы запущен
[2025-12-17 18:46:15,132] INFO: Данные отправлены: T=22.1°C, H=55.5%
[2025-12-17 18:46:17,080] INFO: Данные отправлены: T=21.7°C, H=56.3%
[2025-12-17 18:46:18,536] INFO: Данные отправлены: T=21.9°C, H=55.1%
[2025-12-17 18:46:19,033] INFO: Данные отправлены: T=22.2°C, H=54.9%
[2025-12-17 18:46:20,553] INFO: Данные отправлены: T=22.0°C, H=52.1%
[2025-12-17 18:46:22,582] INFO: Данные отправлены: T=22.4°C, H=52.9%
[2025-12-17 18:46:24,222] INFO: Данные отправлены: T=22.1°C, H=54.0%
[2025-12-17 18:53:05,612] INFO: Данные отправлены: T=16.4°C, H=69.6%
[2025-12-17 18:53:05,841] INFO: Данные отправлены: T=16.5°C, H=69.6%
[2025-12-17 18:53:10,847] INFO: Данные отправлены: T=16.8°C, H=68.9%
[2025-12-17 18:53:15,857] INFO: Данные отправлены: T=16.5°C, H=67.7%
[2025-12-17 18:54:02,215] INFO: Данные отправлены: T=16.3°C, H=68.6%
[2025-12-17 18:54:02,406] INFO: Данные отправлены: T=15.8°C, H=71.6%
[2025-12-17 18:54:21,517] INFO: Данные отправлены: T=16.1°C, H=69.5%
[2025-12-17 18:54:21,721] INFO: Данные отправлены: T=16.8°C, H=70.5%
[2025-12-17 18:54:26,728] INFO: Данные отправлены: T=16.9°C, H=68.2%
[2025-12-17 18:54:31,736] INFO: Данные отправлены: T=17.2°C, H=66.7%
[2025-12-17 18:54:36,744] INFO: Данные отправлены: T=16.8°C, H=67.6%
[2025-12-17 18:54:56,113] INFO: Данные отправлены: T=17.6°C, H=65.6%
[2025-12-17 18:54:56,319] INFO: Данные отправлены: T=17.2°C, H=66.2%
[2025-12-17 18:55:15,484] INFO: Данные отправлены: T=18.9°C, H=62.3%
[2025-12-17 18:55:15,678] INFO: Данные отправлены: T=18.2°C, H=65.2%
[2025-12-17 18:55:18,425] INFO: Данные отправлены: T=18.5°C, H=62.8%
[2025-12-17 18:55:20,690] INFO: Данные отправлены: T=18.5°C, H=63.7%
[2025-12-17 18:55:25,726] INFO: Данные отправлены: T=19.4°C, H=60.6%
[2025-12-17 18:55:30,728] INFO: Данные отправлены: T=19.6°C, H=60.0%
[2025-12-17 18:55:43,100] INFO: Данные отправлены: T=20.3°C, H=59.5%
[2025-12-17 18:55:43,303] INFO: Данные отправлены: T=20.3°C, H=61.4%
[2025-12-17 18:55:48,299] INFO: Данные отправлены: T=20.8°C, H=57.2%
[2025-12-17 18:55:59,802] INFO: Данные отправлены: T=21.0°C, H=59.3%
[2025-12-17 18:55:59,994] INFO: Данные отправлены: T=20.9°C, H=56.1%
[2025-12-17 18:56:04,989] INFO: Данные отправлены: T=21.7°C, H=58.2%
[2025-12-17 18:56:09,996] INFO: Данные отправлены: T=21.2°C, H=55.2%
[2025-12-17 18:56:13,862] INFO: Данные отправлены: T=22.2°C, H=56.6%
[2025-12-17 18:56:15,859] INFO: Данные отправлены: T=21.9°C, H=52.9%
[2025-12-17 18:56:17,861] INFO: Данные отправлены: T=22.2°C, H=53.6%
[2025-12-17 18:56:19,866] INFO: Данные отправлены: T=22.3°C, H=56.0%
[2025-12-17 18:56:21,871] INFO: Данные отправлены: T=22.4°C, H=53.6%
[2025-12-17 18:56:23,875] INFO: Данные отправлены: T=23.0°C, H=55.1%
[2025-12-17 18:56:25,887] INFO: Данные отправлены: T=22.8°C, H=54.5%
[2025-12-17 18:56:27,887] INFO: Данные отправлены: T=23.2°C, H=54.7%
[2025-12-17 18:56:29,899] INFO: Данные отправлены: T=23.1°C, H=50.9%
[2025-12-17 18:56:31,895] INFO: Данные отправлены: T=23.1°C, H=51.1%
[2025-12-17 18:56:50,024] INFO: Данные отправлены: T=24.4°C, H=50.3%
[2025-12-17 18:56:50,213] INFO: Данные отправлены: T=24.1°C, H=49.1%
[2025-12-17 18:56:52,192] INFO: Данные отправлены: T=24.1°C, H=51.0%
[2025-12-17 18:56:54,197] INFO: Данные отправлены: T=24.7°C, H=50.3%
[2025-12-17 18:56:56,199] INFO: Данные отправлены: T=24.3°C, H=50.2%
[2025-12-17 18:56:58,218] INFO: Данные отправлены: T=24.8°C, H=48.3%
[2025-12-17 18:56:58,583] INFO: Данные отправлены: T=24.4°C, H=49.6%
[2025-12-17 18:57:00,216] INFO: Данные отправлены: T=25.2°C, H=48.0%
[2025-12-17 18:57:02,222] INFO: Данные отправлены: T=24.7°C, H=46.0%
[2025-12-17 18:57:04,227] INFO: Данные отправлены: T=25.2°C, H=45.9%
[2025-12-17 18:57:06,228] INFO: Данные отправлены: T=24.8°C, H=49.0%
[2025-12-17 18:57:08,234] INFO: Данные отправлены: T=24.9°C, H=46.9%
[2025-12-17 18:57:10,267] INFO: Данные отправлены: T=25.8°C, H=44.8%
[2025-12-17 18:57:54,616] INFO: Данные отправлены: T=27.4°C, H=41.2%
[2025-12-17 18:57:54,780] INFO: Данные отправлены: T=27.6°C, H=40.7%
[2025-12-17 18:57:56,777] INFO: Данные отправлены: T=27.1°C, H=40.1%
[2025-12-17 18:57:58,783] INFO: Данные отправлены: T=27.3°C, H=42.4%
[2025-12-17 18:58:00,791] INFO: Данные отправлены: T=27.0°C, H=40.8%
[2025-12-17 18:58:02,796] INFO: Данные отправлены: T=27.7°C, H=41.8%
[2025-12-17 18:58:04,798] INFO: Данные отправлены: T=27.3°C, H=40.7%
[2025-12-17 18:58:06,804] INFO: Данные отправлены: T=27.7°C, H=41.9%
[2025-12-17 18:58:08,808] INFO: Данные отправлены: T=27.1°C, H=42.2%
[2025-12-17 18:58:10,815] INFO: Данные отправлены: T=27.6°C, H=41.0%
[2025-12-17 18:58:12,817] INFO: Данные отправлены: T=27.2°C, H=39.4%
[2025-12-17 18:58:14,822] INFO: Данные отправлены: T=27.9°C, H=41.7%
[2025-12-17 18:58:16,837] INFO: Данные отправлены: T=27.8°C, H=41.1%
[2025-12-17 18:58:18,840] INFO: Данные отправлены: T=27.7°C, H=40.3%
[2025-12-17 18:58:20,845] INFO: Данные отправлены: T=27.7°C, H=40.1%
[2025-12-17 18:58:22,851] INFO: Данные отправлены: T=27.6°C, H=38.4%
[2025-12-17 18:58:24,855] INFO: Данные отправлены: T=27.5°C, H=40.8%
[2025-12-17 18:58:26,862] INFO: Данные отправлены: T=27.6°C, H=38.8%
[2025-12-17 18:58:28,862] INFO: Данные отправлены: T=28.1°C, H=39.9%
[2025-12-17 18:58:30,865] INFO: Данные отправлены: T=27.9°C, H=41.6%
[2025-12-17 18:58:32,875] INFO: Данные отправлены: T=27.6°C, H=40.9%
[2025-12-17 18:58:34,877] INFO: Данные отправлены: T=28.5°C, H=40.1%
[2025-12-17 18:58:36,880] INFO: Данные отправлены: T=27.7°C, H=38.7%
[2025-12-17 18:58:38,883] INFO: Данные отправлены: T=27.7°C, H=38.6%
[2025-12-17 18:58:40,891] INFO: Данные отправлены: T=28.0°C, H=39.7%
[2025-12-17 18:58:42,894] INFO: Данные отправлены: T=27.7°C, H=41.1%
[2025-12-17 18:58:44,902] INFO: Данные отправлены: T=28.2°C, H=40.7%
[2025-12-17 18:59:04,937] INFO: Данные отправлены: T=28.3°C, H=42.2%
[2025-12-17 18:59:05,099] INFO: Данные отправлены: T=27.8°C, H=39.5%
[2025-12-17 18:59:07,099] INFO: Данные отправлены: T=27.6°C, H=42.3%
[2025-12-17 18:59:09,101] INFO: Данные отправлены: T=27.6°C, H=40.8%
[2025-12-17 18:59:11,106] INFO: Данные отправлены: T=27.8°C, H=41.9%
[2025-12-17 18:59:13,159] INFO: Данные отправлены: T=27.5°C, H=39.0%
[2025-12-17 18:59:15,116] INFO: Данные отправлены: T=27.7°C, H=42.3%
[2025-12-17 18:59:17,118] INFO: Данные отправлены: T=27.5°C, H=40.5%
[2025-12-17 18:59:19,119] INFO: Данные отправлены: T=27.3°C, H=41.6%
[2025-12-17 18:59:21,129] INFO: Данные отправлены: T=28.0°C, H=41.7%
[2025-12-17 18:59:23,132] INFO: Данные отправлены: T=27.9°C, H=39.7%
[2025-12-17 18:59:25,135] INFO: Данные отправлены: T=27.4°C, H=42.3%
[2025-12-17 18:59:27,140] INFO: Данные отправлены: T=27.1°C, H=41.7%
[2025-12-17 18:59:29,145] INFO: Данные отправлены: T=27.2°C, H=43.0%
[2025-12-17 18:59:31,151] INFO: Данные отправлены: T=26.8°C, H=39.9%
[2025-12-17 18:59:33,157] INFO: Данные отправлены: T=27.5°C, H=41.4%
[2025-12-17 18:59:35,163] INFO: Данные отправлены: T=27.3°C, H=41.9%
[2025-12-17 18:59:37,165] INFO: Данные отправлены: T=26.9°C, H=42.9%
[2025-12-17 18:59:39,167] INFO: Данные отправлены: T=26.9°C, H=43.9%
[2025-12-17 18:59:41,171] INFO: Данные отправлены: T=27.2°C, H=40.8%
[2025-12-17 18:59:43,176] INFO: Данные отправлены: T=26.5°C, H=41.5%
[2025-12-17 18:59:45,180] INFO: Данные отправлены: T=26.5°C, H=42.2%
[2025-12-17 18:59:47,188] INFO: Данные отправлены: T=26.8°C, H=42.7%
[2025-12-17 18:59:49,192] INFO: Данные отправлены: T=26.6°C, H=44.8%
[2025-12-17 18:59:51,196] INFO: Данные отправлены: T=26.6°C, H=45.1%
[2025-12-17 18:59:53,201] INFO: Данные отправлены: T=27.0°C, H=44.2%
[2025-12-17 18:59:55,209] INFO: Данные отправлены: T=26.8°C, H=44.5%
[2025-12-17 18:59:57,211] INFO: Данные отправлены: T=26.2°C, H=44.3%
[2025-12-17 18:59:59,221] INFO: Данные отправлены: T=25.9°C, H=42.7%
[2025-12-17 19:00:01,221] INFO: Данные отправлены: T=26.2°C, H=43.2%
[2025-12-17 19:00:03,227] INFO: Данные отправлены: T=25.8°C, H=46.7%
[2025-12-17 19:00:05,230] INFO: Данные отправлены: T=26.2°C, H=44.8%
[2025-12-17 19:00:07,235] INFO: Данные отправлены: T=25.7°C, H=45.8%
[2025-12-17 19:00:09,245] INFO: Данные отправлены: T=25.4°C, H=44.0%
[2025-12-17 19:00:11,246] INFO: Данные отправлены: T=25.7°C, H=47.7%
[2025-12-17 19:00:13,251] INFO: Данные отправлены: T=25.5°C, H=45.1%
[2025-12-17 19:00:15,257] INFO: Данные отправлены: T=26.0°C, H=44.3%
[2025-12-17 19:00:17,259] INFO: Данные отправлены: T=25.2°C, H=46.3%
[2025-12-17 19:00:19,265] INFO: Данные отправлены: T=25.3°C, H=47.5%
[2025-12-17 19:00:21,271] INFO: Данные отправлены: T=25.4°C, H=45.9%
[2025-12-17 19:00:23,274] INFO: Данные отправлены: T=25.5°C, H=48.4%
[2025-12-17 19:00:25,283] INFO: Данные отправлены: T=24.5°C, H=48.2%
[2025-12-17 19:00:27,288] INFO: Данные отправлены: T=25.3°C, H=49.4%
[2025-12-17 19:00:29,294] INFO: Данные отправлены: T=24.5°C, H=46.2%
[2025-12-17 19:00:31,299] INFO: Данные отправлены: T=24.5°C, H=49.3%
[2025-12-17 19:00:33,302] INFO: Данные отправлены: T=24.8°C, H=50.3%
[2025-12-17 19:00:35,305] INFO: Данные отправлены: T=23.9°C, H=49.0%
[2025-12-17 19:00:37,311] INFO: Данные отправлены: T=24.6°C, H=47.7%
[2025-12-17 19:00:39,313] INFO: Данные отправлены: T=24.0°C, H=51.5%
[2025-12-17 19:00:41,320] INFO: Данные отправлены: T=24.3°C, H=49.6%
[2025-12-17 19:00:43,326] INFO: Данные отправлены: T=24.2°C, H=52.0%
[2025-12-17 19:00:45,334] INFO: Данные отправлены: T=24.0°C, H=51.1%
[2025-12-17 19:00:47,340] INFO: Данные отправлены: T=24.0°C, H=50.4%
[2025-12-17 19:00:49,343] INFO: Данные отправлены: T=23.4°C, H=50.4%
[2025-12-17 19:00:51,348] INFO: Данные отправлены: T=23.6°C, H=49.7%
[2025-12-17 19:00:53,355] INFO: Данные отправлены: T=23.0°C, H=51.7%
[2025-12-17 19:00:55,357] INFO: Данные отправлены: T=22.7°C, H=51.8%
[2025-12-17 19:00:57,368] INFO: Данные отправлены: T=22.8°C, H=52.2%
[2025-12-17 19:00:59,366] INFO: Данные отправлены: T=23.1°C, H=51.3%
[2025-12-17 19:01:01,372] INFO: Данные отправлены: T=22.6°C, H=51.0%
[2025-12-17 19:01:03,375] INFO: Данные отправлены: T=22.4°C, H=51.8%
[2025-12-17 19:01:05,381] INFO: Данные отправлены: T=22.9°C, H=53.6%
[2025-12-17 19:01:54,641] INFO: Данные отправлены: T=19.9°C, H=62.7%
[2025-12-17 19:01:58,658] INFO: Данные отправлены: T=19.6°C, H=63.1%
[2025-12-17 19:02:00,707] INFO: Данные отправлены: T=19.4°C, H=61.2%
[2025-12-17 19:02:06,341] INFO: Данные отправлены: T=18.7°C, H=61.9%
[2025-12-17 19:02:06,488] INFO: Данные отправлены: T=18.5°C, H=61.5%
[2025-12-17 19:02:08,486] INFO: Данные отправлены: T=19.1°C, H=62.9%
[2025-12-17 19:02:10,501] INFO: Данные отправлены: T=19.2°C, H=61.7%
[2025-12-17 19:02:12,512] INFO: Данные отправлены: T=18.2°C, H=63.4%
[2025-12-17 19:02:17,186] INFO: Данные отправлены: T=18.1°C, H=62.6%
